X1,X2,count,plot_order,rep,type,plot_order2,svg
8,11,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,NA,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,8,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,12,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,15,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,11,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,NA,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,NA,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,13,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,5,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,NA,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,11,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,11,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,12,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,9,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,14,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,7,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,8,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,2,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,12,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,10,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,11,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,15,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,3,9,14,M2,1,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,10,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,13,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,4,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,3,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,12,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,13,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,15,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,11,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,6,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,13,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,7,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,2,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,6,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,12,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,14,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,6,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,4,10,15,M2,10,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,5,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,9,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,2,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,12,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,NA,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,3,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,11,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,9,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,10,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,1,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,8,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,7,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,3,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,15,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,NA,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,NA,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,5,11,16,M2,4,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,12,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,13,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,4,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,12,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,3,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,12,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,NA,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,13,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,9,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,3,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,15,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,2,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,3,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,11,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,NA,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,7,6,12,17,M2,12,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,6,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,4,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,2,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,16,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,NA,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,8,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,NA,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,12,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,13,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,7,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,9,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,11,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,15,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,5,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,6,7,1,17,M2,7,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,5,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,12,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,6,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,14,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,2,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,3,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,9,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,8,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,2,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,7,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,NA,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,4,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,3,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,10,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,8,6,18,M2,3,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,4,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,7,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,13,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,12,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,3,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,12,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,8,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,12,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,7,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,5,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,12,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,14,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,15,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,4,9,7,19,M2,5,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,14,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,NA,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,10,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,10,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,6,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,5,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,11,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,12,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,3,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,5,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,8,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,9,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,15,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,7,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,1,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,7,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,2,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,12,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,14,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,10,12,19,M2,2,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,15,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,15,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,5,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,13,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,3,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,12,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,NA,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,11,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,12,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,9,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,7,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,8,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,6,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,8,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,4,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,12,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,NA,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,2,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,3,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,16,11,10,20,M2,6,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,6,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,4,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,5,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,NA,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,7,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,14,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,9,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,14,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,14,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,13,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,16,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,10,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,11,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,12,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,13,12,2,17,M1,11,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
